,date,src,doi,git_hits,osf_hits,nda_hits,open_neuro,fmri,res,yr,pmcid,idx
0,20181115,PMC,10.1186/s12969-016-0125-1,0,0,0,0,0,13,2016,PMC5139083,14
1,20190216,PMC,,0,0,0,0,0,0,1881,PMC6038389,15
2,20181224,PMC,10.1167/iovs.09-3616,0,0,0,0,0,3,2013,PMC3766363,51
3,20181121,PMC,10.3390/s16060934,0,0,0,0,0,10,2016,PMC4934359,53
4,20181123,PMC,10.3389/fnhum.2016.00332,0,0,0,0,15,8,2016,PMC4923193,67
5,20181113,PMC,10.1007/s10295-016-1796-9,0,0,0,0,0,4,2016,PMC4983285,72
6,20181110,PMC,10.1038/cdd.2016.56,0,0,0,0,0,12,2016,PMC5041193,82
7,20190214,PMC,10.1371/journal.pone.0156598,0,0,0,0,0,4,2016,PMC4892552,86
8,20181121,PMC,10.1093/ofid/ofy136,0,0,0,0,0,15,2018,PMC6030902,87
9,20181205,PMC,10.1038/srep30005,0,0,0,0,0,4,2016,PMC4956745,88
10,20181121,PMC,10.1371/journal.pone.0200156,0,0,0,0,0,3,2018,PMC6029802,98
11,20181121,PMC,10.1080/19420862.2015.1116657,0,0,0,0,0,6,2015,PMC4966575,99
12,20181110,PMC,10.1155/2016/3137010,0,0,0,0,0,6,2016,PMC4886052,100
13,20190219,PMC,10.1371/journal.pone.0153414,0,0,0,0,0,8,2016,PMC4871444,101
14,20181201,PMC,,0,0,0,0,0,0,1866,PMC5170293,102
15,20181124,PMC,,0,0,0,0,0,0,1904,PMC5162771,104
16,20181102,PMC,10.12659/MSM.895395,0,0,0,0,0,4,2016,PMC4913826,105
17,20190213,PMC,10.1371/journal.pone.0160874,0,0,0,0,0,19,2016,PMC4987043,106
18,20181203,PMC,10.1088/1468-6996/14/5/055009,0,0,0,0,0,10,2013,PMC5090379,107
19,20181121,PMC,10.1177/2041669515625797,0,0,0,0,1,25,2016,PMC4954744,108
20,20190418,PMC,10.1016/j.celrep.2016.10.024,0,0,0,0,0,9,2016,PMC5134839,109
21,20190214,PMC,10.1371/journal.pone.0156721,0,0,0,0,0,14,2016,PMC4889151,110
22,20190216,PMC,,0,0,0,0,0,0,1880,PMC6040414,111
23,20181207,PMC,,0,0,0,0,0,0,1915,PMC5149973,113
24,20190213,PMC,10.1371/journal.pone.0162195,0,0,0,0,0,5,2016,PMC5017741,114
25,20181123,PMC,10.7554/eLife.14012,0,0,0,0,0,13,2016,PMC4951198,115
26,20181201,PMC,,0,0,0,0,0,0,1903,PMC5150880,117
27,20181207,PMC,10.1155/2016/5724020,0,0,0,0,0,0,2016,PMC4887639,118
28,20181121,PMC,10.1155/2016/9153673,0,0,0,0,0,8,2016,PMC5050375,119
29,20181120,PMC,10.1093/jxb/ery189,0,0,0,0,0,12,2018,PMC6054243,120
30,20181201,PMC,10.3390/s16060833,0,0,0,0,0,4,2016,PMC4934259,121
31,20181123,PMC,,0,0,0,0,0,0,1933,PMC5163643,122
32,20181123,PMC,10.1590/0100-3984.2016.49.3.ce1,0,0,0,0,0,0,2016,PMC4938452,123
33,20181124,PMC,,0,0,0,0,0,0,1949,PMC5189493,124
34,20190317,PMC,10.1371/journal.pone.0157149,0,0,0,0,0,9,2016,PMC4902299,125
35,20181202,PMC,10.3389/fnbeh.2016.00172,0,0,0,0,9,16,2016,PMC5014856,126
36,20190111,PMC,10.1038/srep26875,0,0,0,0,0,11,2016,PMC4881048,127
37,20181119,PMC,10.1186/s12871-016-0235-9,0,0,0,0,0,3,2016,PMC5013621,128
