,date,src,doi,git_hits,osf_hits,nda_hits,open_neuro,fmri,res,yr,pmcid,idx
0,20181121,PMC,10.1186/bcr911,0,0,0,0,0,3,2004,PMC549172,0
1,20181210,PMC,10.1186/bcr912,0,0,0,0,0,4,2004,PMC549173,1
2,20181121,PMC,10.1186/bcr913,0,0,0,0,0,17,2004,PMC549174,2
3,20181121,PMC,10.1186/bcr914,0,0,0,0,0,3,2004,PMC549175,3
4,20181121,PMC,10.1186/bcr915,0,0,0,0,0,25,2004,PMC549176,4
5,20181121,PMC,10.1186/bcr916,0,0,0,0,0,1,2004,PMC549177,5
6,20181121,PMC,10.1186/bcr917,0,0,0,0,0,3,2004,PMC549178,6
7,20181121,PMC,10.1186/bcr918,0,0,0,0,0,6,2004,PMC549179,7
8,20181123,PMC,10.1186/bcr919,0,0,0,0,0,5,2004,PMC549180,8
9,20181201,PMC,10.1186/bcr921,0,0,0,0,0,2,2004,PMC549181,9
10,20181123,PMC,10.1186/bcr923,0,0,0,0,0,3,2004,PMC549182,10
11,20181123,PMC,10.1186/bcr926,0,0,0,0,0,0,2004,PMC549183,11
12,20181201,PMC,10.1186/bcr927,0,0,0,0,0,6,2004,PMC549184,12
13,20181201,PMC,10.1186/1476-4598-4-9,0,0,0,0,0,13,2005,PMC549185,13
14,20181201,PMC,10.1186/1471-2458-5-13,0,0,0,0,0,3,2005,PMC549186,14
15,20181201,PMC,10.1186/1472-6874-5-1,0,0,0,0,0,4,2005,PMC549187,15
16,20181123,PMC,10.1186/1472-6920-5-5,0,0,0,0,0,2,2005,PMC549188,16
17,20181201,PMC,10.1186/1471-2156-6-4,0,0,0,0,0,7,2005,PMC549189,17
18,20181114,PMC,10.1186/1471-2334-5-6,0,0,0,0,0,7,2005,PMC549190,18
19,20181113,PMC,10.1186/1471-2156-6-3,0,0,0,0,0,6,2005,PMC549191,19
20,20181113,PMC,10.1186/1471-2474-6-5,0,0,0,0,0,5,2005,PMC549192,20
21,20181120,PMC,10.1186/1471-2202-6-6,0,0,0,0,0,6,2005,PMC549193,21
22,20181113,PMC,10.1186/1471-244X-5-7,0,0,0,0,0,4,2005,PMC549194,22
23,20181123,PMC,10.1186/1472-6963-5-12,0,0,0,0,0,9,2005,PMC549195,23
24,20181120,PMC,10.1186/1471-2407-5-15,0,0,0,0,0,3,2005,PMC549196,24
25,20181113,PMC,10.1186/1471-2199-6-3,0,0,0,0,0,14,2005,PMC549197,25
26,20181114,PMC,10.1186/1471-2202-6-7,0,0,0,0,0,4,2005,PMC549198,26
27,20181113,PMC,10.1186/1471-2105-6-22,0,0,0,0,0,5,2005,PMC549199,27
28,20181224,PMC,10.1186/1471-2105-6-14,0,0,0,0,0,11,2005,PMC549200,28
29,20181205,PMC,10.1186/1471-2105-6-20,0,0,0,0,0,3,2005,PMC549201,29
30,20181205,PMC,10.1186/1471-2105-6-19,0,0,0,0,0,3,2005,PMC549202,30
31,20181121,PMC,10.1186/1471-2105-6-17,0,0,0,0,0,9,2005,PMC549203,31
32,20181206,PMC,10.1186/1471-2105-6-8,0,0,0,0,0,7,2005,PMC549204,32
33,20181205,PMC,10.1186/1471-2407-5-14,0,0,0,0,0,5,2005,PMC549205,33
34,20181205,PMC,10.1186/1741-7007-3-2,0,0,0,0,0,16,2005,PMC549206,34
35,20181124,PMC,10.1186/1471-2474-6-3,0,0,0,0,0,8,2005,PMC549207,35
36,20181121,PMC,10.1186/1475-925X-4-5,0,0,0,0,0,6,2005,PMC549208,36
37,20181121,PMC,10.1186/1468-6708-6-1,0,0,0,0,0,6,2005,PMC549209,37
38,20181121,PMC,10.1186/1743-7075-2-2,0,0,0,0,0,6,2005,PMC549210,38
39,20181207,PMC,10.1186/1475-925X-4-6,0,0,0,0,0,12,2005,PMC549211,39
40,20181207,PMC,10.1186/1742-4682-2-3,0,0,0,0,0,7,2005,PMC549212,40
41,20181221,PMC,10.1186/1471-2164-6-9,0,0,0,0,0,8,2005,PMC549213,41
42,20181207,PMC,10.1186/1471-2202-6-9,0,0,0,0,0,13,2005,PMC549214,42
43,20181207,PMC,10.1186/1471-213X-5-2,0,0,0,0,0,9,2005,PMC549215,43
44,20181207,PMC,10.1186/1472-6963-5-13,0,0,0,0,0,5,2005,PMC549216,44
45,20181207,PMC,10.1186/1742-4690-2-6,0,0,0,0,0,10,2005,PMC549217,45
46,20190103,PMC,10.1093/nar/gki185,0,0,0,0,0,7,2005,PMC549389,46
47,20181111,PMC,10.1093/nar/gki187,0,0,0,0,0,8,2005,PMC549390,47
48,20181111,PMC,10.1093/nar/gki197,0,0,0,0,0,6,2005,PMC549391,48
49,20181123,PMC,10.1093/nar/gki201,0,0,0,0,0,4,2005,PMC549392,49
50,20181130,PMC,10.1093/nar/gki212,0,0,0,0,0,5,2005,PMC549393,50
51,20181123,PMC,10.1093/nar/gki223,0,0,0,0,0,4,2005,PMC549394,51
52,20181130,PMC,10.1093/nar/gki224,0,0,0,0,0,13,2005,PMC549395,52
53,20181124,PMC,10.1093/nar/gki227,0,0,0,0,0,7,2005,PMC549396,53
54,20181121,PMC,10.1093/nar/gki230,0,0,0,0,0,4,2005,PMC549397,54
55,20181121,PMC,10.1093/nar/gki231,0,0,0,0,0,9,2005,PMC549398,55
56,20181120,PMC,10.1093/nar/gki232,0,0,0,0,0,8,2005,PMC549399,56
57,20181110,PMC,10.1093/nar/gki233,0,0,0,0,0,12,2005,PMC549400,57
58,20181110,PMC,10.1093/nar/gki234,0,0,0,0,0,8,2005,PMC549401,58
59,20181110,PMC,10.1093/nar/gki235,0,0,0,0,0,8,2005,PMC549402,59
60,20181110,PMC,10.1093/nar/gki236,0,0,0,0,0,6,2005,PMC549403,60
61,20181110,PMC,10.1093/nar/gki237,0,0,0,0,0,5,2005,PMC549404,61
62,20181110,PMC,10.1093/nar/gki238,0,0,0,0,0,5,2005,PMC549405,62
63,20181110,PMC,10.1093/nar/gki240,0,0,0,0,0,11,2005,PMC549406,63
64,20181110,PMC,10.1093/nar/gki241,0,0,0,0,0,10,2005,PMC549407,64
65,20181110,PMC,10.1093/nar/gki243,0,0,0,0,0,3,2005,PMC549408,65
66,20181110,PMC,10.1093/nar/gki244,0,0,0,0,0,10,2005,PMC549409,66
67,20181128,PMC,10.1093/nar/gki245,0,0,0,0,0,15,2005,PMC549410,67
68,20181128,PMC,10.1093/nar/gki246,0,0,0,0,0,17,2005,PMC549411,68
69,20181129,PMC,10.1093/nar/gki247,0,0,0,0,0,5,2005,PMC549412,69
70,20181128,PMC,10.1093/nar/gki250,0,0,0,0,0,2,2005,PMC549413,70
71,20181121,PMC,10.1093/nar/gki252,0,0,0,0,0,9,2005,PMC549414,71
72,20181128,PMC,10.1093/nar/gki253,0,0,0,0,0,3,2005,PMC549415,72
73,20181129,PMC,10.1093/nar/gki256,0,0,0,0,0,6,2005,PMC549416,73
74,20181128,PMC,10.1093/nar/gki258,0,0,0,0,0,3,2005,PMC549417,74
