,date,src,doi,git_hits,osf_hits,nda_hits,open_neuro,fmri,res,yr,pmcid,idx
0,20181124,PMC,10.4103/0970-2113.44123,0,0,0,0,0,1,2008,PMC2822325,0
1,20181207,PMC,10.4103/0970-2113.44127,0,0,0,0,0,1,2008,PMC2822326,1
2,20181124,PMC,10.4103/0970-2113.59590,0,0,0,0,0,0,2008,PMC2822327,2
3,20181124,PMC,10.4103/0970-2113.59591,0,0,0,0,0,2,2008,PMC2822328,3
4,20181124,PMC,10.4103/0970-2113.44122,0,0,0,0,0,6,2008,PMC2822329,4
5,20181207,PMC,10.4103/0970-2113.44120,0,0,0,0,0,0,2008,PMC2822330,5
6,20181207,PMC,10.4103/0970-2113.44121,0,0,0,0,0,3,2008,PMC2822331,6
7,20181207,PMC,10.4103/0970-2113.59595,0,0,0,0,0,3,2008,PMC2822332,7
8,20181207,PMC,10.4103/0970-2113.59597,0,0,0,0,0,1,2008,PMC2822333,8
9,20181207,PMC,10.4103/0970-2113.59592,0,0,0,0,0,5,2008,PMC2822334,9
10,20181121,PMC,10.4103/0970-2113.59593,0,0,0,0,0,0,2008,PMC2822335,10
11,20181207,PMC,10.4103/0970-2113.59594,0,0,0,0,0,1,2008,PMC2822336,11
12,20181121,PMC,10.4103/0970-2113.59596,0,0,0,0,0,0,2008,PMC2822337,12
13,20181206,PMC,10.1107/S1600536809035648,0,0,0,0,0,0,2009,PMC2822386,13
14,20181203,PMC,10.4103/0019-5413.58599,0,0,0,0,0,2,2010,PMC2822410,14
15,20181207,PMC,10.4103/0019-5413.58613,0,0,0,0,0,0,2010,PMC2822411,15
16,20181207,PMC,10.4103/0019-5413.58614,0,0,0,0,0,0,2010,PMC2822412,16
17,20181116,PMC,10.4103/0019-5413.58615,0,0,0,0,0,0,2010,PMC2822413,17
18,20181207,PMC,10.4103/0019-5413.57280,0,0,0,0,0,2,2010,PMC2822414,18
19,20181229,PMC,10.4103/0019-5413.58602,0,0,0,0,0,7,2010,PMC2822415,19
20,20181207,PMC,10.4103/0019-5413.58603,0,0,0,0,0,7,2010,PMC2822416,20
21,20181207,PMC,10.4103/0019-5413.58604,0,0,0,0,0,9,2010,PMC2822417,21
22,20181207,PMC,10.4103/0019-5413.58605,0,0,0,0,0,7,2010,PMC2822418,22
23,20181207,PMC,10.4103/0019-5413.58600,0,0,0,0,0,2,2010,PMC2822419,23
24,20181124,PMC,10.4103/0019-5413.58606,0,0,0,0,0,5,2010,PMC2822420,24
25,20181124,PMC,10.4103/0019-5413.58607,0,0,0,0,0,2,2010,PMC2822421,25
26,20181123,PMC,10.4103/0019-5413.58608,0,0,0,0,0,8,2010,PMC2822422,26
27,20181124,PMC,10.4103/0019-5413.58609,0,0,0,0,0,12,2010,PMC2822423,27
28,20181124,PMC,10.4103/0019-5413.58610,0,0,0,0,0,3,2010,PMC2822424,28
29,20181124,PMC,10.4103/0019-5413.58611,0,0,0,0,0,9,2010,PMC2822425,29
30,20181123,PMC,10.4103/0019-5413.58612,0,0,0,0,0,8,2010,PMC2822426,30
31,20181124,PMC,10.4103/0019-5413.58601,0,0,0,0,0,2,2010,PMC2822427,31
32,20181123,PMC,10.4103/0019-5413.54968,0,0,0,0,0,1,2010,PMC2822428,32
33,20181123,PMC,10.4103/0019-5413.57281,0,0,0,0,0,1,2010,PMC2822429,33
34,20181119,PMC,10.1038/npp.2009.31,0,0,0,0,0,11,2010,PMC2822461,34
35,20181110,PMC,10.1152/ajpendo.00426.2009,0,0,0,0,0,7,2011,PMC2822479,35
36,20181204,PMC,10.1152/ajpendo.00388.2009,0,0,0,0,0,8,2009,PMC2822485,36
37,20181111,PMC,10.1152/ajprenal.00038.2009,0,0,0,0,0,11,2011,PMC2822520,37
38,20181121,PMC,10.1186/1471-2164-11-S1-S1,0,0,0,0,0,4,2010,PMC2822523,38
39,20181121,PMC,10.1186/1471-2164-11-S1-S10,0,0,0,0,0,14,2010,PMC2822524,39
40,20181121,PMC,10.1186/1471-2164-11-S1-S11,0,0,0,0,0,3,2010,PMC2822525,40
41,20181121,PMC,10.1186/1471-2164-11-S1-S12,0,0,0,0,0,19,2010,PMC2822526,41
42,20181121,PMC,10.1186/1471-2164-11-S1-S13,0,0,0,0,0,12,2010,PMC2822527,42
43,20181121,PMC,10.1186/1471-2164-11-S1-S14,0,0,0,0,0,5,2010,PMC2822528,43
44,20181121,PMC,10.1186/1471-2164-11-S1-S15,0,0,0,0,0,12,2010,PMC2822529,44
45,20181207,PMC,10.1186/1471-2164-11-S1-S2,0,0,0,0,0,6,2010,PMC2822530,45
46,20181207,PMC,10.1186/1471-2164-11-S1-S3,0,0,0,0,0,20,2010,PMC2822531,46
47,20181207,PMC,10.1186/1471-2164-11-S1-S4,0,0,0,0,0,9,2010,PMC2822532,47
48,20181207,PMC,10.1186/1471-2164-11-S1-S5,0,0,0,0,0,5,2010,PMC2822533,48
49,20181207,PMC,10.1186/1471-2164-11-S1-S6,0,0,0,0,0,9,2010,PMC2822534,49
50,20181207,PMC,10.1186/1471-2164-11-S1-S7,0,0,0,0,0,3,2010,PMC2822535,50
51,20181207,PMC,10.1186/1471-2164-11-S1-S8,0,0,0,0,0,2,2010,PMC2822536,51
52,20181207,PMC,10.1186/1471-2164-11-S1-S9,0,0,0,0,0,11,2010,PMC2822537,52
53,20181202,PMC,10.3389/neuro.14.001.2010,0,0,0,0,0,1,2010,PMC2822548,53
54,20181205,PMC,,0,0,0,0,0,5,2010,PMC2822549,54
55,20181115,PMC,,0,0,0,0,0,4,2010,PMC2822550,55
56,20181115,PMC,,0,0,0,0,0,3,2010,PMC2822551,56
57,20181115,PMC,,0,0,0,0,0,12,2010,PMC2822553,57
58,20181109,PMC,,0,0,0,0,0,5,2010,PMC2822554,58
59,20181110,PMC,,0,0,0,0,0,7,2010,PMC2822555,59
60,20181124,PMC,10.1152/ajpheart.00875.2009,0,0,0,0,0,5,2011,PMC2822572,60
61,20181124,PMC,10.1152/ajpheart.00606.2009,0,0,0,0,0,15,2009,PMC2822578,61
62,20181123,PMC,10.1084/jem.20091959,0,0,0,0,0,5,2010,PMC2822595,62
