,date,src,doi,git_hits,osf_hits,nda_hits,open_neuro,fmri,res,yr,pmcid,idx
0,20181207,PMC,10.1186/1297-9686-29-4-413,0,0,0,0,0,0,1997,PMC2708220,0
1,20181207,PMC,10.1186/1297-9686-29-4-427,0,0,0,0,0,0,1997,PMC2708221,1
2,20181207,PMC,10.1186/1297-9686-29-4-451,0,0,0,0,0,0,1997,PMC2708222,2
3,20181207,PMC,10.1186/1297-9686-29-4-469,0,0,0,0,0,0,1997,PMC2708223,3
4,20181207,PMC,10.1186/1297-9686-29-4-483,0,0,0,0,0,0,1997,PMC2708224,4
5,20181207,PMC,10.1186/1297-9686-29-4-497,0,0,0,0,0,0,1997,PMC2708225,5
6,20181121,PMC,10.1186/1297-9686-29-4-511,0,0,0,0,0,0,1997,PMC2708226,6
7,20181207,PMC,10.1186/1297-9686-29-4-523,0,0,0,0,0,0,1997,PMC2708227,7
8,20181207,PMC,10.1186/1297-9686-29-3-297,0,0,0,0,0,0,1997,PMC2708228,8
9,20181207,PMC,10.1186/1297-9686-29-3-319,0,0,0,0,0,0,1997,PMC2708229,9
10,20181205,PMC,10.1186/1297-9686-29-3-327,0,0,0,0,0,0,1997,PMC2708230,10
11,20181205,PMC,10.1186/1297-9686-29-3-357,0,0,0,0,0,0,1997,PMC2708231,11
12,20181205,PMC,10.1186/1297-9686-29-3-367,0,0,0,0,0,0,1997,PMC2708232,12
13,20181205,PMC,10.1186/1297-9686-29-3-383,0,0,0,0,0,0,1997,PMC2708233,13
14,20181205,PMC,10.1186/1297-9686-29-3-395,0,0,0,0,0,0,1997,PMC2708234,14
15,20181205,PMC,10.1186/1297-9686-29-3-403,0,0,0,0,0,0,1997,PMC2708235,15
16,20181205,PMC,10.1186/1297-9686-27-5-385,0,0,0,0,0,0,1995,PMC2708236,16
17,20181205,PMC,10.1186/1297-9686-27-5-395,0,0,0,0,0,0,1995,PMC2708237,17
18,20181205,PMC,10.1186/1297-9686-27-5-423,0,0,0,0,0,0,1995,PMC2708238,18
19,20181205,PMC,10.1186/1297-9686-27-5-437,0,0,0,0,0,0,1995,PMC2708239,19
20,20181118,PMC,10.1186/1297-9686-27-5-451,0,0,0,0,0,0,1995,PMC2708240,20
21,20181118,PMC,10.1186/1297-9686-27-5-459,0,0,0,0,0,0,1995,PMC2708241,21
22,20181118,PMC,10.1186/1297-9686-27-5-473,0,0,0,0,0,0,1995,PMC2708242,22
23,20181118,PMC,10.1186/1297-9686-27-3-201,0,0,0,0,0,0,1995,PMC2708243,23
24,20181118,PMC,10.1186/1297-9686-27-3-211,0,0,0,0,0,0,1995,PMC2708244,24
25,20181118,PMC,10.1186/1297-9686-27-3-229,0,0,0,0,0,0,1995,PMC2708245,25
26,20181118,PMC,10.1186/1297-9686-27-3-251,0,0,0,0,0,0,1995,PMC2708246,26
27,20181118,PMC,10.1186/1297-9686-27-3-275,0,0,0,0,0,0,1995,PMC2708247,27
28,20181119,PMC,10.1186/1297-9686-27-3-287,0,0,0,0,0,0,1995,PMC2708248,28
29,20181118,PMC,10.1186/1297-9686-27-3-299,0,0,0,0,0,0,1995,PMC2708249,29
30,20181106,PMC,10.1186/1297-9686-27-4-305,0,0,0,0,0,0,1995,PMC2708250,30
31,20181106,PMC,10.1186/1297-9686-27-4-313,0,0,0,0,0,0,1995,PMC2708251,31
32,20181106,PMC,10.1186/1297-9686-27-4-323,0,0,0,0,0,0,1995,PMC2708252,32
33,20181106,PMC,10.1186/1297-9686-27-4-335,0,0,0,0,0,0,1995,PMC2708253,33
34,20181106,PMC,10.1186/1297-9686-27-4-347,0,0,0,0,0,0,1995,PMC2708254,34
35,20181106,PMC,10.1186/1297-9686-27-4-365,0,0,0,0,0,0,1995,PMC2708255,35
36,20181106,PMC,10.1186/1297-9686-27-4-377,0,0,0,0,0,0,1995,PMC2708256,36
37,20181106,PMC,10.1186/1297-9686-27-6-481,0,0,0,0,0,0,1995,PMC2708257,37
38,20181106,PMC,10.1186/1297-9686-27-6-491,0,0,0,0,0,0,1995,PMC2708258,38
39,20181106,PMC,10.1186/1297-9686-27-6-503,0,0,0,0,0,0,1995,PMC2708259,39
40,20181121,PMC,10.1186/1297-9686-27-6-519,0,0,0,0,0,0,1995,PMC2708260,40
41,20181121,PMC,10.1186/1297-9686-27-6-541,0,0,0,0,0,0,1995,PMC2708261,41
42,20181121,PMC,10.1186/1297-9686-27-6-551,0,0,0,0,0,0,1995,PMC2708262,42
43,20181121,PMC,10.1186/1297-9686-27-6-567,0,0,0,0,0,0,1995,PMC2708263,43
44,20181121,PMC,10.1186/1297-9686-27-1-15,0,0,0,0,0,0,1995,PMC2708264,44
45,20181121,PMC,10.1186/1297-9686-27-1-3,0,0,0,0,0,0,1995,PMC2708265,45
46,20181121,PMC,10.1186/1297-9686-27-1-33,0,0,0,0,0,0,1995,PMC2708266,46
47,20181121,PMC,10.1186/1297-9686-27-1-43,0,0,0,0,0,0,1995,PMC2708267,47
48,20181121,PMC,10.1186/1297-9686-27-1-63,0,0,0,0,0,0,1995,PMC2708268,48
49,20181121,PMC,10.1186/1297-9686-27-1-77,0,0,0,0,0,0,1995,PMC2708269,49
50,20181210,PMC,10.1186/1297-9686-27-1-89,0,0,0,0,0,0,1995,PMC2708270,50
51,20181210,PMC,10.1186/1297-9686-28-4-321,0,0,0,0,0,0,1996,PMC2708271,51
52,20181210,PMC,10.1186/1297-9686-28-4-329,0,0,0,0,0,0,1996,PMC2708272,52
53,20181210,PMC,10.1186/1297-9686-28-4-345,0,0,0,0,0,0,1996,PMC2708273,53
54,20181210,PMC,10.1186/1297-9686-28-4-359,0,0,0,0,0,0,1996,PMC2708274,54
55,20181210,PMC,10.1186/1297-9686-28-4-379,0,0,0,0,0,0,1996,PMC2708275,55
56,20181210,PMC,10.1186/1297-9686-28-1-103,0,0,0,0,0,0,1996,PMC2708276,56
57,20181210,PMC,10.1186/1297-9686-28-1-117,0,0,0,0,0,0,1996,PMC2708277,57
58,20181210,PMC,10.1186/1297-9686-28-1-121,0,0,0,0,0,0,1996,PMC2708278,58
59,20181210,PMC,10.1186/1297-9686-28-1-23,0,0,0,0,0,0,1996,PMC2708279,59
60,20181128,PMC,10.1186/1297-9686-28-1-3,0,0,0,0,0,0,1996,PMC2708280,60
61,20181202,PMC,10.1186/1297-9686-28-1-51,0,0,0,0,0,0,1996,PMC2708281,61
62,20181202,PMC,10.1186/1297-9686-28-1-67,0,0,0,0,0,0,1996,PMC2708282,62
63,20181128,PMC,10.1186/1297-9686-28-1-83,0,0,0,0,0,0,1996,PMC2708283,63
64,20181107,PMC,10.1186/1297-9686-27-2-111,0,0,0,0,0,0,1995,PMC2708284,64
65,20181128,PMC,10.1186/1297-9686-27-2-125,0,0,0,0,0,0,1995,PMC2708285,65
66,20181128,PMC,10.1186/1297-9686-27-2-135,0,0,0,0,0,0,1995,PMC2708286,66
67,20181128,PMC,10.1186/1297-9686-27-2-149,0,0,0,0,0,0,1995,PMC2708287,67
68,20181128,PMC,10.1186/1297-9686-27-2-171,0,0,0,0,0,0,1995,PMC2708288,68
69,20181128,PMC,10.1186/1297-9686-27-2-189,0,0,0,0,0,0,1995,PMC2708289,69
70,20181110,PMC,10.1186/1297-9686-27-2-195,0,0,0,0,0,0,1995,PMC2708290,70
71,20181110,PMC,10.1186/1297-9686-27-2-97,0,0,0,0,0,0,1995,PMC2708291,71
72,20181110,PMC,10.1186/1297-9686-28-6-465,0,0,0,0,0,0,1996,PMC2708292,72
73,20181110,PMC,10.1186/1297-9686-28-6-479,0,0,0,0,0,0,1996,PMC2708293,73
74,20181110,PMC,10.1186/1297-9686-28-6-491,0,0,0,0,0,0,1996,PMC2708294,74
75,20181110,PMC,10.1186/1297-9686-28-6-505,0,0,0,0,0,0,1996,PMC2708295,75
76,20181110,PMC,10.1186/1297-9686-28-6-531,0,0,0,0,0,0,1996,PMC2708296,76
77,20181110,PMC,10.1186/1297-9686-28-2-129,0,0,0,0,0,0,1996,PMC2708297,77
78,20181110,PMC,10.1186/1297-9686-28-2-141,0,0,0,0,0,0,1996,PMC2708298,78
79,20181110,PMC,10.1186/1297-9686-28-2-161,0,0,0,0,0,0,1996,PMC2708299,79
80,20181121,PMC,10.1186/1297-9686-28-2-177,0,0,0,0,0,0,1996,PMC2708300,80
81,20181116,PMC,10.1186/1297-9686-28-2-197,0,0,0,0,0,0,1996,PMC2708301,81
82,20181114,PMC,10.1186/1297-9686-28-5-385,0,0,0,0,0,0,1996,PMC2708302,82
83,20181116,PMC,10.1186/1297-9686-28-5-415,0,0,0,0,0,0,1996,PMC2708303,83
84,20181116,PMC,10.1186/1297-9686-28-5-437,0,0,0,0,0,0,1996,PMC2708304,84
85,20181116,PMC,10.1186/1297-9686-28-5-443,0,0,0,0,0,0,1996,PMC2708305,85
86,20181114,PMC,10.1186/1297-9686-28-5-457,0,0,0,0,0,0,1996,PMC2708306,86
87,20181114,PMC,10.1186/1297-9686-28-3-217,0,0,0,0,0,0,1996,PMC2708307,87
88,20181121,PMC,10.1186/1297-9686-28-3-223,0,0,0,0,0,0,1996,PMC2708308,88
89,20181121,PMC,10.1186/1297-9686-28-3-237,0,0,0,0,0,0,1996,PMC2708309,89
90,20181203,PMC,10.1186/1297-9686-28-3-249,0,0,0,0,0,0,1996,PMC2708310,90
91,20181203,PMC,10.1186/1297-9686-28-3-275,0,0,0,0,0,0,1996,PMC2708311,91
92,20181123,PMC,10.1186/1297-9686-28-3-285,0,0,0,0,0,0,1996,PMC2708312,92
93,20181124,PMC,10.1186/1297-9686-28-3-289,0,0,0,0,0,0,1996,PMC2708313,93
94,20181203,PMC,10.1186/1297-9686-28-3-299,0,0,0,0,0,0,1996,PMC2708314,94
95,20181203,PMC,10.1038/nbt.1549,0,0,0,0,0,3,2010,PMC2708317,95
96,20181207,PMC,10.1038/onc.2009.121,0,0,0,0,0,8,2010,PMC2708319,96
97,20181120,PMC,10.1007/s10802-009-9312-6,0,0,0,0,0,19,2009,PMC2708322,97
98,20181111,PMC,10.1007/s10802-009-9313-5,0,0,0,0,0,10,2009,PMC2708323,98
99,20181120,PMC,10.1007/s10544-009-9295-7,0,0,0,0,0,7,2009,PMC2708324,99
100,20181111,PMC,10.1007/s12350-009-9096-7,0,0,0,0,0,12,2009,PMC2708325,100
101,20181106,PMC,10.1007/s00198-008-0816-7,0,0,0,0,0,5,2009,PMC2708326,101
102,20181121,PMC,10.1007/s00198-008-0817-6,0,0,0,0,0,3,2009,PMC2708327,102
103,20181120,PMC,10.1007/s10802-009-9310-8,0,0,0,0,0,25,2009,PMC2708328,103
104,20181120,PMC,10.1007/s10802-009-9314-4,0,0,0,0,0,8,2009,PMC2708329,104
105,20181121,PMC,10.1007/s00221-009-1892-4,0,0,0,0,0,10,2009,PMC2708330,105
106,20181124,PMC,10.1007/s00415-009-5063-0,0,0,0,0,0,5,2009,PMC2708331,106
107,20181121,PMC,10.1007/s00198-008-0803-z,0,0,0,0,0,5,2009,PMC2708332,107
108,20181124,PMC,10.1007/s00426-008-0163-5,0,0,0,0,0,6,2009,PMC2708333,108
109,20181124,PMC,10.1007/s00426-008-0176-0,0,0,0,0,1,20,2009,PMC2708334,109
110,20181124,PMC,10.1007/s00426-008-0174-2,0,0,0,0,1,12,2009,PMC2708335,110
111,20181121,PMC,10.1007/s10544-009-9291-y,0,0,0,0,0,3,2009,PMC2708336,111
112,20181124,PMC,10.1016/j.evalprogplan.2008.12.002,0,0,0,0,0,2,2009,PMC2708337,112
113,20181124,PMC,10.1007/s12350-009-9111-z,0,0,0,0,0,11,2009,PMC2708338,113
114,20181118,PMC,10.1007/s00415-009-5068-8,0,0,0,0,0,2,2009,PMC2708340,114
115,20181203,PMC,10.1016/j.bbrc.2009.05.134,0,0,0,0,0,1,2009,PMC2708341,115
116,20181118,PMC,10.1136/sti.2008.033183,0,0,0,0,0,3,2008,PMC2708343,116
117,20181118,PMC,10.1136/sti.2008.032821,0,0,0,0,0,6,2008,PMC2708344,117
118,20181118,PMC,10.1371/journal.pmed.1000115,0,0,0,0,0,7,2009,PMC2708346,118
119,20181118,PMC,10.1371/journal.pone.0006327,0,0,0,0,1,14,2009,PMC2708347,119
120,20181118,PMC,10.1371/journal.pmed.1000119,0,0,0,0,0,2,2009,PMC2708348,120
121,20181118,PMC,10.1371/journal.pbio.1000161,0,0,0,0,0,6,2009,PMC2708349,121
122,20190124,PMC,10.1371/journal.pone.0006331,0,0,0,0,0,18,2009,PMC2708350,122
123,20181205,PMC,10.1371/journal.pone.0006322,0,0,0,0,0,5,2009,PMC2708351,123
124,20181205,PMC,10.1371/journal.pone.0006324,0,0,0,0,0,2,2009,PMC2708352,124
125,20190124,PMC,10.1371/journal.pone.0006312,0,0,0,0,0,6,2009,PMC2708353,125
126,20181205,PMC,10.1371/journal.pcbi.1000449,0,0,0,0,0,7,2009,PMC2708354,126
127,20181123,PMC,10.1371/journal.pone.0006318,0,0,0,0,0,1,2009,PMC2708355,127
128,20181128,PMC,10.2174/1874205X00903010048,0,0,0,0,0,3,2009,PMC2708385,128
129,20181129,PMC,10.2174/1874205X00903010045,0,0,0,0,0,0,2009,PMC2708595,129
130,20181129,PMC,10.1093/toxsci/kfp102,0,0,0,0,0,10,2009,PMC2708596,130
131,20181121,PMC,10.1074/jbc.M806584200,0,0,0,0,0,5,2009,PMC2708853,131
132,20181121,PMC,10.1074/jbc.M809585200,0,0,0,0,0,2,2009,PMC2708854,132
133,20181207,PMC,10.1074/jbc.M109.003673,0,0,0,0,0,7,2009,PMC2708863,133
134,20181207,PMC,10.1074/jbc.M808431200,0,0,0,0,0,6,2009,PMC2708867,134
135,20181113,PMC,10.1074/jbc.M900519200,0,0,0,0,0,11,2009,PMC2708883,135
136,20181106,PMC,10.1371/journal.pgen.1000576,0,0,0,0,0,0,2009,PMC2708908,136
137,20181107,PMC,10.1371/journal.pgen.1000577,0,0,0,0,0,14,2009,PMC2708909,137
138,20181119,PMC,10.1371/journal.pone.0006210,0,0,0,0,0,9,2009,PMC2708910,138
139,20181119,PMC,10.1371/journal.pgen.1000579,0,0,0,0,0,3,2009,PMC2708911,139
140,20181119,PMC,10.1371/journal.pone.0006313,0,0,0,0,0,7,2009,PMC2708912,140
141,20190124,PMC,10.1371/journal.pone.0006300,0,0,0,0,0,4,2009,PMC2708913,141
142,20181119,PMC,10.1371/journal.pgen.1000557,0,0,0,0,0,18,2009,PMC2708914,142
143,20181119,PMC,10.1371/journal.pone.0006317,0,0,0,0,0,5,2009,PMC2708915,143
